1_star,2_star,3_star,4_star,5_star,book_id,review_url
34695,79373,292201,531514,530103,13079982-fahrenheit-451,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=B0064CPN7I&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
54265,98352,253862,370429,426390,6185,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0393978893&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
22522,36770,126935,260610,562969,18405,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0446675539&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
10658,22671,105470,275312,465197,1617,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0374500010&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12613,37608,156784,307265,329757,5297,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0375751513&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12028,8204,13967,17128,150275,1923820,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
8281,22922,170062,574881,1489091,6,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
17,69,314,688,1159,1362112,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0007244665&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
26884,51275,178061,373737,639501,386162,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12214,36721,136168,223456,256011,1420,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0521618746&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
