author_name,author_url,avg_rating,book_title,book_url,num_ratings,score,score_users
Frank McCourt,https://www.goodreads.com/author/show/3347.Frank_McCourt,4.10,"
Angela's Ashes (Frank McCourt, #1)
",/book/show/252577.Angela_s_Ashes,"496,542","68,300",861
Robert Munsch,https://www.goodreads.com/author/show/6039100.Robert_Munsch,4.35,"
Love You Forever
",/book/show/310259.Love_You_Forever,"184,937","66,393",815
John Irving,https://www.goodreads.com/author/show/3075.John_Irving,4.23,"
A Prayer for Owen Meany
",/book/show/4473.A_Prayer_for_Owen_Meany,"273,538","66,180",775
William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,3.94,"
A Midsummer Night's Dream
",/book/show/1622.A_Midsummer_Night_s_Dream,"412,735","63,974",894
Dante Alighieri,https://www.goodreads.com/author/show/5031312.Dante_Alighieri,4.07,"
The Divine Comedy
",/book/show/6656.The_Divine_Comedy,"103,592","63,775",829
J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4.44,"
The Two Towers (The Lord of the Rings, #2)
",/book/show/15241.The_Two_Towers,"636,047","63,742",862
Cormac McCarthy,https://www.goodreads.com/author/show/4178.Cormac_McCarthy,3.96,"
The Road
",/book/show/6288.The_Road,"654,161","63,423",767
Katherine Paterson,https://www.goodreads.com/author/show/1949.Katherine_Paterson,3.99,"
Bridge to Terabithia
",/book/show/40940121-bridge-to-terabithia,"402,460","63,208",805
Alexandre Dumas,https://www.goodreads.com/author/show/4785.Alexandre_Dumas,4.07,"
The Three Musketeers (The D'Artagnan Romances, #1)
",/book/show/7190.The_Three_Musketeers,"253,966","62,311",838
Kahlil Gibran,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,4.23,"
The Prophet
",/book/show/2547.The_Prophet,"208,586","61,860",762
Umberto Eco,https://www.goodreads.com/author/show/1730.Umberto_Eco,4.12,"
The Name of the Rose
",/book/show/119073.The_Name_of_the_Rose,"270,813","61,822",785
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.14,"
Persuasion
",/book/show/2156.Persuasion,"478,829","61,610",809
Sara Gruen,https://www.goodreads.com/author/show/24556.Sara_Gruen,4.08,"
Water for Elephants
",/book/show/43641.Water_for_Elephants,"1,269,923","61,091",772
Philip Pullman,https://www.goodreads.com/author/show/3618.Philip_Pullman,3.97,"
The Golden Compass (His Dark Materials, #1)
",/book/show/119322.The_Golden_Compass,"1,167,635","58,518",734
Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,4.36,"
How the Grinch Stole Christmas!
",/book/show/113946.How_the_Grinch_Stole_Christmas_,"298,174","58,204",820
